fips,county_name,state,state_long,msa_type,msa_name,final_cluster,plain_label,assignment_confidence,assignment_margin,second_best_cluster,second_best_label
01001,Autauga County,AL,Alabama,Metro,"Montgomery, AL",2,Lower-tax severe-storm casualty counties,0.9953984239924141,0.9907968493745279,7,High-risk inland-flood and storm-injury counties
01003,Baldwin County,AL,Alabama,Metro,"Daphne-Fairhope-Foley, AL",7,High-risk inland-flood and storm-injury counties,0.999619102204874,0.9992382047339771,2,Lower-tax severe-storm casualty counties
01005,Barbour County,AL,Alabama,,,6,Lower-wage tornado and storm-injury counties,0.9920947751987162,0.9841895505369974,7,High-risk inland-flood and storm-injury counties
01007,Bibb County,AL,Alabama,Metro,"Birmingham-Hoover, AL",6,Lower-wage tornado and storm-injury counties,0.8238088458664942,0.6476177529660547,7,High-risk inland-flood and storm-injury counties
01009,Blount County,AL,Alabama,Metro,"Birmingham-Hoover, AL",6,Lower-wage tornado and storm-injury counties,0.9991547831066612,0.9983095716549765,7,High-risk inland-flood and storm-injury counties
01011,Bullock County,AL,Alabama,,,3,Older wildfire and mountain-hazard housing-market counties,0.9538944919668282,0.9100790517339923,7,High-risk inland-flood and storm-injury counties
01013,Butler County,AL,Alabama,,,0,"Transfer-reliant, temperature-variable severe-storm counties",0.9911705540048533,0.9845082916291399,3,Older wildfire and mountain-hazard housing-market counties
01015,Calhoun County,AL,Alabama,Metro,"Anniston-Oxford-Jacksonville, AL",2,Lower-tax severe-storm casualty counties,0.9986383347740712,0.9972766727968477,7,High-risk inland-flood and storm-injury counties
01017,Chambers County,AL,Alabama,Micro,"Valley, AL",0,"Transfer-reliant, temperature-variable severe-storm counties",0.9927192714624111,0.9870546598244591,7,High-risk inland-flood and storm-injury counties
01019,Cherokee County,AL,Alabama,,,6,Lower-wage tornado and storm-injury counties,0.9992378781866261,0.99847575843273,7,High-risk inland-flood and storm-injury counties
01021,Chilton County,AL,Alabama,Metro,"Birmingham-Hoover, AL",6,Lower-wage tornado and storm-injury counties,0.9961639533541035,0.992327907543761,7,High-risk inland-flood and storm-injury counties
01023,Choctaw County,AL,Alabama,,,6,Lower-wage tornado and storm-injury counties,0.9839656420171554,0.9679312845078861,7,High-risk inland-flood and storm-injury counties
01025,Clarke County,AL,Alabama,,,7,High-risk inland-flood and storm-injury counties,0.8192677489775388,0.6385355225434316,6,Lower-wage tornado and storm-injury counties
01027,Clay County,AL,Alabama,,,6,Lower-wage tornado and storm-injury counties,0.9619688755151704,0.9239377518058344,7,High-risk inland-flood and storm-injury counties
01029,Cleburne County,AL,Alabama,,,2,Lower-tax severe-storm casualty counties,0.9633002339950456,0.9266166281463877,7,High-risk inland-flood and storm-injury counties
01031,Coffee County,AL,Alabama,Micro,"Enterprise, AL",5,Cold-region severe-storm casualty counties,0.9714090897756583,0.9428182321761418,7,High-risk inland-flood and storm-injury counties
01033,Colbert County,AL,Alabama,Metro,"Florence-Muscle Shoals, AL",2,Lower-tax severe-storm casualty counties,0.996845530536495,0.9936911555008425,7,High-risk inland-flood and storm-injury counties
01035,Conecuh County,AL,Alabama,,,0,"Transfer-reliant, temperature-variable severe-storm counties",0.7212853869442662,0.4727576800800905,3,Older wildfire and mountain-hazard housing-market counties
01037,Coosa County,AL,Alabama,Micro,"Talladega-Sylacauga, AL",3,Older wildfire and mountain-hazard housing-market counties,0.9919515579845096,0.9842555446631629,7,High-risk inland-flood and storm-injury counties
01039,Covington County,AL,Alabama,,,2,Lower-tax severe-storm casualty counties,0.9874245146063542,0.9748490357129281,7,High-risk inland-flood and storm-injury counties
01041,Crenshaw County,AL,Alabama,,,0,"Transfer-reliant, temperature-variable severe-storm counties",0.9759193935732255,0.9545983001734794,3,Older wildfire and mountain-hazard housing-market counties
01043,Cullman County,AL,Alabama,Micro,"Cullman, AL",2,Lower-tax severe-storm casualty counties,0.992392223017905,0.984784452635668,7,High-risk inland-flood and storm-injury counties
01045,Dale County,AL,Alabama,Micro,"Ozark, AL",0,"Transfer-reliant, temperature-variable severe-storm counties",0.9962722501413331,0.9926577196047558,7,High-risk inland-flood and storm-injury counties
01047,Dallas County,AL,Alabama,Micro,"Selma, AL",2,Lower-tax severe-storm casualty counties,0.94752175469485,0.8950977337652909,7,High-risk inland-flood and storm-injury counties
01049,DeKalb County,AL,Alabama,,,2,Lower-tax severe-storm casualty counties,0.9971304064261469,0.9942608141809487,7,High-risk inland-flood and storm-injury counties
