risk_group,model,folds,county_count,mae,mae_std,rmse,rmse_std,r2,r2_std,spearman,spearman_std,mae_percentage_points,mae_std_percentage_points,rmse_percentage_points,rmse_std_percentage_points,selected
High + Very High,elastic_net,15,173,0.013353614661752715,0.0020908450321101076,0.018003810669874113,0.0047675788213737144,-0.2066354688785184,0.6711343072147783,0.28127250900360146,0.14522424390726704,1.3353614661752715,0.20908450321101077,1.8003810669874114,0.47675788213737147,False
High + Very High,gradient_boosted_trees,15,173,0.011722345543558348,0.0013967919279129792,0.014753541289939399,0.001375725429348629,0.2124825612608153,0.12982506575164302,0.430168916051269,0.1308182366826769,1.1722345543558348,0.13967919279129792,1.4753541289939398,0.1375725429348629,True
High + Very High,median_baseline,15,173,0.013358874588888963,0.0013947392206772502,0.016991880037138078,0.0017542108669770346,-0.030642192235413424,0.053188168729957706,,,1.3358874588888963,0.13947392206772502,1.6991880037138078,0.17542108669770345,False
Low,elastic_net,15,1123,0.017438768531172807,0.001073994704190427,0.02492154075557323,0.0021414645910584145,0.18256623573273423,0.0546872937475592,0.4665814992028533,0.04615993992952843,1.7438768531172808,0.10739947041904271,2.4921540755573233,0.21414645910584146,False
Low,gradient_boosted_trees,15,1123,0.016859725092644478,0.0011259659922858193,0.024533714672529128,0.0021433260270603233,0.2063498411185906,0.07099686211214111,0.5130611248745699,0.04456577006133931,1.6859725092644477,0.11259659922858194,2.4533714672529126,0.21433260270603233,True
Low,median_baseline,15,1123,0.020068926373002758,0.0012896863829715511,0.027696525513733763,0.002189950945517017,-0.008456624222483337,0.008522501066679164,,,2.006892637300276,0.1289686382971551,2.7696525513733765,0.2189950945517017,False
Medium,elastic_net,15,404,0.01304530131303167,0.0008969857011711716,0.017138805075276667,0.0017748952334707138,0.14199650312700823,0.0891038301470079,0.44765409229338426,0.06807341441081191,1.304530131303167,0.08969857011711715,1.7138805075276666,0.17748952334707138,False
Medium,gradient_boosted_trees,15,404,0.012209715978646108,0.0012138304405911648,0.01587142456720488,0.0020114505148800038,0.2601032713483145,0.1334073842700585,0.530264863704167,0.1037163969341322,1.2209715978646107,0.12138304405911648,1.587142456720488,0.20114505148800038,True
Medium,median_baseline,15,404,0.014424604877696688,0.0008336695649500705,0.018613015050969753,0.0015857268489571042,-0.010282696680591459,0.015744115752988327,,,1.442460487769669,0.08336695649500706,1.8613015050969752,0.15857268489571041,False
Very Low,elastic_net,15,987,0.027311301754923974,0.0023312454349766424,0.038766515618000805,0.003718238884857568,0.05262551081105455,0.01954103042610898,0.3100102241764141,0.029061027759116436,2.7311301754923973,0.23312454349766423,3.8766515618000805,0.37182388848575676,True
Very Low,gradient_boosted_trees,15,987,0.02748079010800463,0.002548640642890939,0.039142750245890506,0.0038835820439628013,0.034277087570388706,0.04025491619658003,0.27991856536542303,0.06084210986055569,2.748079010800463,0.25486406428909386,3.9142750245890507,0.3883582043962801,False
Very Low,median_baseline,15,987,0.02894242244605143,0.0021906525165535443,0.039921127444547774,0.0037162282984934433,-0.004968396168631361,0.006246478797044154,,,2.894242244605143,0.21906525165535443,3.9921127444547775,0.3716228298493443,False
