risk_group,model_group,risk_groups,feature,feature_group,feature_label,non_null_count,non_null_fraction,unique_non_null_values,included,exclusion_reason
Very Low,Very Low,Very Low,extreme_event_count,Climate and hazard,Combined Extreme Event Count,930,0.9422492401215805,55,True,
Very Low,Very Low,Very Low,homeowners_insurance_pct_income,Economic and affordability,Homeowners Insurance Share of Income,987,1.0,987,True,
Very Low,Very Low,Very Low,property_taxes_pct_income,Economic and affordability,Property Taxes Share of Income,987,1.0,987,True,
Very Low,Very Low,Very Low,utilities_pct_income,Economic and affordability,Utilities Share of Income,987,1.0,987,True,
Very Low,Very Low,Very Low,earnings_by_place_of_work_per_capita_usd,Economic and affordability,Earnings by Place of Work per Capita,963,0.9756838905775076,963,True,
Very Low,Very Low,Very Low,dividends_interest_rent_per_capita_usd,Economic and affordability,"Dividends, Interest, and Rent per Capita",963,0.9756838905775076,963,True,
Very Low,Very Low,Very Low,transfer_receipts_per_capita_usd,Economic and affordability,Transfer Receipts per Capita,963,0.9756838905775076,963,True,
Very Low,Very Low,Very Low,avg_temperature_f,Climate and hazard,Temperature,473,0.47922998986828774,473,True,
Very Low,Very Low,Very Low,precipitation_inches,Climate and hazard,Precipitation,473,0.47922998986828774,472,True,
Very Low,Very Low,Very Low,age_65_plus_pct,Demographic,Age >= 65 Years,987,1.0,793,True,
Very Low,Very Low,Very Low,communication_barrier_pct,Demographic,Communication Barrier,987,1.0,559,True,
Very Low,Very Low,Very Low,disability_pct,Demographic,Disability Status,987,1.0,821,True,
Very Low,Very Low,Very Low,net_migration_rate_pct,Demographic,Net Migration Rate,987,1.0,987,True,
Very Low,Very Low,Very Low,no_broadband_pct,Demographic,No Internet Access,987,1.0,889,True,
Very Low,Very Low,Very Low,total_population,Demographic,Total Population,987,1.0,986,True,
Very Low,Very Low,Very Low,average_annual_wage_usd,Economic and affordability,Average Annual Wage Usd,987,1.0,985,True,
Very Low,Very Low,Very Low,median_household_income_usd,Economic and affordability,Income,987,1.0,986,False,high_absolute_correlation_with:utilities_pct_income:-0.906471
Very Low,Very Low,Very Low,owner_cost_burden_30pct_plus_pct,Economic and affordability,Cost-Burdened Households,987,1.0,987,True,
Very Low,Very Low,Very Low,unemployment_rate_pct,Economic and affordability,Unemployment,987,1.0,710,True,
Very Low,Very Low,Very Low,avg_sale_to_list_yoy,Housing market,Avg Sale To List Yoy,944,0.9564336372847011,944,True,
Very Low,Very Low,Very Low,homes_sold_yoy,Housing market,Homes Sold Yoy,987,1.0,987,True,
Very Low,Very Low,Very Low,inventory_yoy,Housing market,Inventory Yoy,981,0.993920972644377,981,True,
Very Low,Very Low,Very Low,median_dom_yoy,Housing market,Median Dom Yoy,987,1.0,912,True,
Very Low,Very Low,Very Low,new_listings_yoy,Housing market,New Listings Yoy,984,0.9969604863221885,984,False,high_absolute_correlation_with:homes_sold_yoy:0.861099
Low,Low,Low,extreme_event_count,Climate and hazard,Combined Extreme Event Count,1030,0.9163701067615658,62,True,
Low,Low,Low,homeowners_insurance_pct_income,Economic and affordability,Homeowners Insurance Share of Income,1124,1.0,1124,True,
Low,Low,Low,property_taxes_pct_income,Economic and affordability,Property Taxes Share of Income,1124,1.0,1124,True,
Low,Low,Low,utilities_pct_income,Economic and affordability,Utilities Share of Income,1124,1.0,1124,True,
Low,Low,Low,earnings_by_place_of_work_per_capita_usd,Economic and affordability,Earnings by Place of Work per Capita,1122,0.998220640569395,1122,True,
Low,Low,Low,dividends_interest_rent_per_capita_usd,Economic and affordability,"Dividends, Interest, and Rent per Capita",1122,0.998220640569395,1122,True,
Low,Low,Low,transfer_receipts_per_capita_usd,Economic and affordability,Transfer Receipts per Capita,1122,0.998220640569395,1122,True,
Low,Low,Low,avg_temperature_f,Climate and hazard,Temperature,542,0.4822064056939502,542,True,
Low,Low,Low,precipitation_inches,Climate and hazard,Precipitation,542,0.4822064056939502,542,True,
Low,Low,Low,age_65_plus_pct,Demographic,Age >= 65 Years,1124,1.0,855,True,
Low,Low,Low,communication_barrier_pct,Demographic,Communication Barrier,1124,1.0,673,True,
Low,Low,Low,disability_pct,Demographic,Disability Status,1124,1.0,918,True,
Low,Low,Low,net_migration_rate_pct,Demographic,Net Migration Rate,1124,1.0,1124,True,
Low,Low,Low,no_broadband_pct,Demographic,No Internet Access,1124,1.0,975,True,
Low,Low,Low,total_population,Demographic,Total Population,1124,1.0,1124,True,
Low,Low,Low,average_annual_wage_usd,Economic and affordability,Average Annual Wage Usd,1124,1.0,1122,True,
Low,Low,Low,median_household_income_usd,Economic and affordability,Income,1124,1.0,1123,False,high_absolute_correlation_with:utilities_pct_income:-0.931266
Low,Low,Low,owner_cost_burden_30pct_plus_pct,Economic and affordability,Cost-Burdened Households,1124,1.0,1124,True,
Low,Low,Low,unemployment_rate_pct,Economic and affordability,Unemployment,1124,1.0,769,True,
Low,Low,Low,avg_sale_to_list_yoy,Housing market,Avg Sale To List Yoy,1098,0.9768683274021353,1098,True,
Low,Low,Low,homes_sold_yoy,Housing market,Homes Sold Yoy,1124,1.0,1124,True,
Low,Low,Low,inventory_yoy,Housing market,Inventory Yoy,1113,0.9902135231316725,1113,True,
Low,Low,Low,median_dom_yoy,Housing market,Median Dom Yoy,1124,1.0,925,True,
Low,Low,Low,new_listings_yoy,Housing market,New Listings Yoy,1120,0.99644128113879,1120,False,high_absolute_correlation_with:homes_sold_yoy:0.901908
Medium,Medium,Medium,extreme_event_count,Climate and hazard,Combined Extreme Event Count,377,0.9331683168316832,59,True,
Medium,Medium,Medium,homeowners_insurance_pct_income,Economic and affordability,Homeowners Insurance Share of Income,404,1.0,404,True,
Medium,Medium,Medium,property_taxes_pct_income,Economic and affordability,Property Taxes Share of Income,404,1.0,404,True,
Medium,Medium,Medium,utilities_pct_income,Economic and affordability,Utilities Share of Income,404,1.0,404,True,
Medium,Medium,Medium,earnings_by_place_of_work_per_capita_usd,Economic and affordability,Earnings by Place of Work per Capita,403,0.9975247524752475,403,True,
Medium,Medium,Medium,dividends_interest_rent_per_capita_usd,Economic and affordability,"Dividends, Interest, and Rent per Capita",403,0.9975247524752475,403,True,
Medium,Medium,Medium,transfer_receipts_per_capita_usd,Economic and affordability,Transfer Receipts per Capita,403,0.9975247524752475,403,True,
Medium,Medium,Medium,avg_temperature_f,Climate and hazard,Temperature,217,0.5371287128712872,217,True,
Medium,Medium,Medium,precipitation_inches,Climate and hazard,Precipitation,217,0.5371287128712872,217,True,
Medium,Medium,Medium,age_65_plus_pct,Demographic,Age >= 65 Years,404,1.0,354,True,
Medium,Medium,Medium,communication_barrier_pct,Demographic,Communication Barrier,404,1.0,352,True,
Medium,Medium,Medium,disability_pct,Demographic,Disability Status,404,1.0,364,True,
Medium,Medium,Medium,net_migration_rate_pct,Demographic,Net Migration Rate,404,1.0,404,True,
Medium,Medium,Medium,no_broadband_pct,Demographic,No Internet Access,404,1.0,383,False,high_absolute_correlation_with:utilities_pct_income:0.850641
Medium,Medium,Medium,total_population,Demographic,Total Population,404,1.0,404,True,
Medium,Medium,Medium,average_annual_wage_usd,Economic and affordability,Average Annual Wage Usd,404,1.0,404,True,
Medium,Medium,Medium,median_household_income_usd,Economic and affordability,Income,404,1.0,404,False,high_absolute_correlation_with:utilities_pct_income:-0.925459
Medium,Medium,Medium,owner_cost_burden_30pct_plus_pct,Economic and affordability,Cost-Burdened Households,404,1.0,404,True,
Medium,Medium,Medium,unemployment_rate_pct,Economic and affordability,Unemployment,404,1.0,345,True,
Medium,Medium,Medium,avg_sale_to_list_yoy,Housing market,Avg Sale To List Yoy,400,0.9900990099009901,400,True,
Medium,Medium,Medium,homes_sold_yoy,Housing market,Homes Sold Yoy,404,1.0,404,True,
Medium,Medium,Medium,inventory_yoy,Housing market,Inventory Yoy,401,0.9925742574257426,401,True,
Medium,Medium,Medium,median_dom_yoy,Housing market,Median Dom Yoy,404,1.0,365,True,
Medium,Medium,Medium,new_listings_yoy,Housing market,New Listings Yoy,403,0.9975247524752475,403,False,high_absolute_correlation_with:homes_sold_yoy:0.867188
High + Very High,High + Very High,High | Very High,extreme_event_count,Climate and hazard,Combined Extreme Event Count,167,0.9653179190751445,53,True,
High + Very High,High + Very High,High | Very High,homeowners_insurance_pct_income,Economic and affordability,Homeowners Insurance Share of Income,173,1.0,173,True,
High + Very High,High + Very High,High | Very High,property_taxes_pct_income,Economic and affordability,Property Taxes Share of Income,173,1.0,173,True,
High + Very High,High + Very High,High | Very High,utilities_pct_income,Economic and affordability,Utilities Share of Income,173,1.0,173,True,
High + Very High,High + Very High,High | Very High,earnings_by_place_of_work_per_capita_usd,Economic and affordability,Earnings by Place of Work per Capita,173,1.0,173,True,
High + Very High,High + Very High,High | Very High,dividends_interest_rent_per_capita_usd,Economic and affordability,"Dividends, Interest, and Rent per Capita",173,1.0,173,True,
High + Very High,High + Very High,High | Very High,transfer_receipts_per_capita_usd,Economic and affordability,Transfer Receipts per Capita,173,1.0,173,True,
High + Very High,High + Very High,High | Very High,avg_temperature_f,Climate and hazard,Temperature,93,0.5375722543352601,93,True,
High + Very High,High + Very High,High | Very High,precipitation_inches,Climate and hazard,Precipitation,93,0.5375722543352601,93,True,
High + Very High,High + Very High,High | Very High,age_65_plus_pct,Demographic,Age >= 65 Years,173,1.0,168,True,
High + Very High,High + Very High,High | Very High,communication_barrier_pct,Demographic,Communication Barrier,173,1.0,171,True,
High + Very High,High + Very High,High | Very High,disability_pct,Demographic,Disability Status,173,1.0,164,True,
High + Very High,High + Very High,High | Very High,net_migration_rate_pct,Demographic,Net Migration Rate,173,1.0,173,True,
High + Very High,High + Very High,High | Very High,no_broadband_pct,Demographic,No Internet Access,173,1.0,168,True,
High + Very High,High + Very High,High | Very High,total_population,Demographic,Total Population,173,1.0,173,True,
High + Very High,High + Very High,High | Very High,average_annual_wage_usd,Economic and affordability,Average Annual Wage Usd,173,1.0,172,True,
High + Very High,High + Very High,High | Very High,median_household_income_usd,Economic and affordability,Income,173,1.0,173,False,high_absolute_correlation_with:utilities_pct_income:-0.930448
High + Very High,High + Very High,High | Very High,owner_cost_burden_30pct_plus_pct,Economic and affordability,Cost-Burdened Households,173,1.0,173,True,
High + Very High,High + Very High,High | Very High,unemployment_rate_pct,Economic and affordability,Unemployment,173,1.0,165,True,
High + Very High,High + Very High,High | Very High,avg_sale_to_list_yoy,Housing market,Avg Sale To List Yoy,171,0.9884393063583815,171,True,
High + Very High,High + Very High,High | Very High,homes_sold_yoy,Housing market,Homes Sold Yoy,173,1.0,173,True,
High + Very High,High + Very High,High | Very High,inventory_yoy,Housing market,Inventory Yoy,169,0.976878612716763,169,True,
High + Very High,High + Very High,High | Very High,median_dom_yoy,Housing market,Median Dom Yoy,173,1.0,165,True,
High + Very High,High + Very High,High | Very High,new_listings_yoy,Housing market,New Listings Yoy,171,0.9884393063583815,171,True,
