risk_group,model_group,model,feature,feature_group,feature_label,importance_type,importance,absolute_importance
Very Low,Very Low,elastic_net,utilities_pct_income,Economic and affordability,Utilities Share of Income,standardized_coefficient,0.16724254659212984,0.16724254659212984
Very Low,Very Low,elastic_net,net_migration_rate_pct,Demographic,Net Migration Rate,standardized_coefficient,0.14496680583909127,0.14496680583909127
Very Low,Very Low,elastic_net,inventory_yoy,Housing market,Inventory Yoy,standardized_coefficient,0.1176796351268931,0.1176796351268931
Very Low,Very Low,elastic_net,average_annual_wage_usd,Economic and affordability,Average Annual Wage Usd,standardized_coefficient,-0.10975266830025708,0.10975266830025708
Very Low,Very Low,elastic_net,age_65_plus_pct,Demographic,Age >= 65 Years,standardized_coefficient,-0.10666105163083292,0.10666105163083292
Very Low,Very Low,elastic_net,extreme_event_count,Climate and hazard,Combined Extreme Event Count,standardized_coefficient,-0.09994273998240966,0.09994273998240966
Very Low,Very Low,elastic_net,earnings_by_place_of_work_per_capita_usd,Economic and affordability,Earnings by Place of Work per Capita,standardized_coefficient,0.08625765450622538,0.08625765450622538
Very Low,Very Low,elastic_net,homeowners_insurance_pct_income,Economic and affordability,Homeowners Insurance Share of Income,standardized_coefficient,-0.08487123921264549,0.08487123921264549
Very Low,Very Low,elastic_net,owner_cost_burden_30pct_plus_pct,Economic and affordability,Cost-Burdened Households,standardized_coefficient,0.06204593856874293,0.06204593856874293
Very Low,Very Low,elastic_net,avg_sale_to_list_yoy,Housing market,Avg Sale To List Yoy,standardized_coefficient,0.046201545819405006,0.046201545819405006
Very Low,Very Low,elastic_net,transfer_receipts_per_capita_usd,Economic and affordability,Transfer Receipts per Capita,standardized_coefficient,0.04096400046715132,0.04096400046715132
Very Low,Very Low,elastic_net,precipitation_inches,Climate and hazard,Precipitation,standardized_coefficient,0.032531016755033865,0.032531016755033865
Very Low,Very Low,elastic_net,total_population,Demographic,Total Population,standardized_coefficient,-0.027949721458960262,0.027949721458960262
Very Low,Very Low,elastic_net,property_taxes_pct_income,Economic and affordability,Property Taxes Share of Income,standardized_coefficient,-0.02121920022976378,0.02121920022976378
Very Low,Very Low,elastic_net,homes_sold_yoy,Housing market,Homes Sold Yoy,standardized_coefficient,-0.02007468051164248,0.02007468051164248
Very Low,Very Low,elastic_net,dividends_interest_rent_per_capita_usd,Economic and affordability,"Dividends, Interest, and Rent per Capita",standardized_coefficient,0.01705005539702811,0.01705005539702811
Very Low,Very Low,elastic_net,avg_temperature_f,Climate and hazard,Temperature,standardized_coefficient,0.007165363988151945,0.007165363988151945
Very Low,Very Low,elastic_net,unemployment_rate_pct,Economic and affordability,Unemployment,standardized_coefficient,0.007144773211317916,0.007144773211317916
Very Low,Very Low,elastic_net,disability_pct,Demographic,Disability Status,standardized_coefficient,-0.002387864895408115,0.002387864895408115
Very Low,Very Low,elastic_net,median_dom_yoy,Housing market,Median Dom Yoy,standardized_coefficient,0.002214336118205878,0.002214336118205878
Very Low,Very Low,elastic_net,no_broadband_pct,Demographic,No Internet Access,standardized_coefficient,-0.0,0.0
Very Low,Very Low,elastic_net,communication_barrier_pct,Demographic,Communication Barrier,standardized_coefficient,-0.0,0.0
Low,Low,gradient_boosted_trees,owner_cost_burden_30pct_plus_pct,Economic and affordability,Cost-Burdened Households,impurity_importance,0.14210740438697106,0.14210740438697106
Low,Low,gradient_boosted_trees,net_migration_rate_pct,Demographic,Net Migration Rate,impurity_importance,0.09723932840194513,0.09723932840194513
Low,Low,gradient_boosted_trees,dividends_interest_rent_per_capita_usd,Economic and affordability,"Dividends, Interest, and Rent per Capita",impurity_importance,0.09324347210394675,0.09324347210394675
Low,Low,gradient_boosted_trees,avg_sale_to_list_yoy,Housing market,Avg Sale To List Yoy,impurity_importance,0.08659145717510221,0.08659145717510221
Low,Low,gradient_boosted_trees,average_annual_wage_usd,Economic and affordability,Average Annual Wage Usd,impurity_importance,0.07760308823277004,0.07760308823277004
Low,Low,gradient_boosted_trees,total_population,Demographic,Total Population,impurity_importance,0.05743406711687503,0.05743406711687503
Low,Low,gradient_boosted_trees,homeowners_insurance_pct_income,Economic and affordability,Homeowners Insurance Share of Income,impurity_importance,0.04919633103682552,0.04919633103682552
Low,Low,gradient_boosted_trees,disability_pct,Demographic,Disability Status,impurity_importance,0.04712722860432001,0.04712722860432001
Low,Low,gradient_boosted_trees,utilities_pct_income,Economic and affordability,Utilities Share of Income,impurity_importance,0.04597650276040875,0.04597650276040875
Low,Low,gradient_boosted_trees,earnings_by_place_of_work_per_capita_usd,Economic and affordability,Earnings by Place of Work per Capita,impurity_importance,0.04102299953307734,0.04102299953307734
Low,Low,gradient_boosted_trees,property_taxes_pct_income,Economic and affordability,Property Taxes Share of Income,impurity_importance,0.037488419889170066,0.037488419889170066
Low,Low,gradient_boosted_trees,avg_temperature_f,Climate and hazard,Temperature,impurity_importance,0.03400921169064327,0.03400921169064327
Low,Low,gradient_boosted_trees,median_dom_yoy,Housing market,Median Dom Yoy,impurity_importance,0.03329570786876228,0.03329570786876228
Low,Low,gradient_boosted_trees,communication_barrier_pct,Demographic,Communication Barrier,impurity_importance,0.02928181691673777,0.02928181691673777
Low,Low,gradient_boosted_trees,precipitation_inches,Climate and hazard,Precipitation,impurity_importance,0.02717332012455309,0.02717332012455309
Low,Low,gradient_boosted_trees,age_65_plus_pct,Demographic,Age >= 65 Years,impurity_importance,0.022001012945246905,0.022001012945246905
Low,Low,gradient_boosted_trees,unemployment_rate_pct,Economic and affordability,Unemployment,impurity_importance,0.01848751126538906,0.01848751126538906
Low,Low,gradient_boosted_trees,inventory_yoy,Housing market,Inventory Yoy,impurity_importance,0.015686973966814188,0.015686973966814188
Low,Low,gradient_boosted_trees,no_broadband_pct,Demographic,No Internet Access,impurity_importance,0.015031197244982513,0.015031197244982513
Low,Low,gradient_boosted_trees,transfer_receipts_per_capita_usd,Economic and affordability,Transfer Receipts per Capita,impurity_importance,0.01182238887757765,0.01182238887757765
Low,Low,gradient_boosted_trees,homes_sold_yoy,Housing market,Homes Sold Yoy,impurity_importance,0.00934500976957694,0.00934500976957694
Low,Low,gradient_boosted_trees,extreme_event_count,Climate and hazard,Combined Extreme Event Count,impurity_importance,0.008835550088304276,0.008835550088304276
Medium,Medium,gradient_boosted_trees,age_65_plus_pct,Demographic,Age >= 65 Years,impurity_importance,0.08678200072669179,0.08678200072669179
Medium,Medium,gradient_boosted_trees,net_migration_rate_pct,Demographic,Net Migration Rate,impurity_importance,0.07881896754135331,0.07881896754135331
Medium,Medium,gradient_boosted_trees,avg_sale_to_list_yoy,Housing market,Avg Sale To List Yoy,impurity_importance,0.07739280309908743,0.07739280309908743
Medium,Medium,gradient_boosted_trees,average_annual_wage_usd,Economic and affordability,Average Annual Wage Usd,impurity_importance,0.07308689907413297,0.07308689907413297
Medium,Medium,gradient_boosted_trees,dividends_interest_rent_per_capita_usd,Economic and affordability,"Dividends, Interest, and Rent per Capita",impurity_importance,0.07227958952374018,0.07227958952374018
Medium,Medium,gradient_boosted_trees,owner_cost_burden_30pct_plus_pct,Economic and affordability,Cost-Burdened Households,impurity_importance,0.07193870951749845,0.07193870951749845
Medium,Medium,gradient_boosted_trees,homeowners_insurance_pct_income,Economic and affordability,Homeowners Insurance Share of Income,impurity_importance,0.07040113617434676,0.07040113617434676
Medium,Medium,gradient_boosted_trees,unemployment_rate_pct,Economic and affordability,Unemployment,impurity_importance,0.05173276603253206,0.05173276603253206
Medium,Medium,gradient_boosted_trees,homes_sold_yoy,Housing market,Homes Sold Yoy,impurity_importance,0.04965761707033494,0.04965761707033494
Medium,Medium,gradient_boosted_trees,median_dom_yoy,Housing market,Median Dom Yoy,impurity_importance,0.04439550678609407,0.04439550678609407
Medium,Medium,gradient_boosted_trees,property_taxes_pct_income,Economic and affordability,Property Taxes Share of Income,impurity_importance,0.04387030558628301,0.04387030558628301
Medium,Medium,gradient_boosted_trees,disability_pct,Demographic,Disability Status,impurity_importance,0.041955523852531644,0.041955523852531644
Medium,Medium,gradient_boosted_trees,transfer_receipts_per_capita_usd,Economic and affordability,Transfer Receipts per Capita,impurity_importance,0.03644841245663973,0.03644841245663973
Medium,Medium,gradient_boosted_trees,inventory_yoy,Housing market,Inventory Yoy,impurity_importance,0.035985985103836736,0.035985985103836736
Medium,Medium,gradient_boosted_trees,communication_barrier_pct,Demographic,Communication Barrier,impurity_importance,0.03562837053544673,0.03562837053544673
Medium,Medium,gradient_boosted_trees,precipitation_inches,Climate and hazard,Precipitation,impurity_importance,0.02843606478513405,0.02843606478513405
