risk_group,model,repeat,fold,county_count,train_count,test_count,inner_splits,best_parameters,mae,rmse,r2,spearman
Very Low,median_baseline,1,1,987,789,198,0,{},0.02872648777038838,0.04065150819942998,-0.000145102031189559,
Very Low,elastic_net,1,1,987,789,198,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 0.9}",0.02729216366128543,0.03986656833377174,0.0381056048155316,0.29822624891879795
Very Low,gradient_boosted_trees,1,1,987,789,198,3,"{""model__learning_rate"": 0.02, ""model__max_depth"": 3, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 125, ""model__subsample"": 0.7}",0.027684309886508215,0.03970863743712388,0.045711573940100836,0.24421832280924696
Very Low,median_baseline,1,2,987,789,198,0,{},0.030035188106023486,0.040152931879657634,-0.010674219876001034,
Very Low,elastic_net,1,2,987,789,198,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 1.0}",0.02819974631285438,0.039412356250967666,0.026263469061406863,0.27111638796969
Very Low,gradient_boosted_trees,1,2,987,789,198,3,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 75, ""model__subsample"": 0.7}",0.028045633136927373,0.03930180435605944,0.03171848122678922,0.27785453875074206
Very Low,median_baseline,1,3,987,790,197,0,{},0.030653662670946703,0.043489578701115576,-0.0016390251652516064,
Very Low,elastic_net,1,3,987,790,197,3,"{""regressor__regressor__model__alpha"": 0.1, ""regressor__regressor__model__l1_ratio"": 0.1}",0.02888868609773404,0.0418786677651839,0.07119070927492221,0.33468948262276765
Very Low,gradient_boosted_trees,1,3,987,790,197,3,"{""model__learning_rate"": 0.1, ""model__max_depth"": 1, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 75, ""model__subsample"": 0.9}",0.028828179411836605,0.04240219243075554,0.047823494873136196,0.3461227404820416
Very Low,median_baseline,1,4,987,790,197,0,{},0.027963851558497458,0.0384774069098329,-0.0031482021478865807,
Very Low,elastic_net,1,4,987,790,197,3,"{""regressor__regressor__model__alpha"": 0.01, ""regressor__regressor__model__l1_ratio"": 0.9}",0.026596166930503883,0.037111246554388,0.06682178500190505,0.3200025741722624
Very Low,gradient_boosted_trees,1,4,987,790,197,3,"{""model__learning_rate"": 0.02, ""model__max_depth"": 3, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 200, ""model__subsample"": 0.7}",0.026651857618503357,0.03813255842790817,0.014752377371217595,0.24558859076625578
Very Low,median_baseline,1,5,987,790,197,0,{},0.027241424237959395,0.03731339173249278,-0.0009128613500324345,
