fips,county_name,nri_risk_rating,economic_profile,economic_profile_label,assignment_confidence,assignment_margin,second_best_profile,second_best_profile_label
01001,"Autauga County, AL",Low,2,Small transfer-reliant counties,0.7456318750871294,0.4963888098982051,0,High-wage investment-income counties
01003,"Baldwin County, AL",High,0,High-wage investment-income counties,0.8791164283897337,0.7582328567794913,2,Small transfer-reliant counties
01005,"Barbour County, AL",Low,2,Small transfer-reliant counties,0.9766677033386583,0.953335406677317,0,High-wage investment-income counties
01007,"Bibb County, AL",Very Low,2,Small transfer-reliant counties,0.9565100670636429,0.913020134127287,0,High-wage investment-income counties
01009,"Blount County, AL",Low,2,Small transfer-reliant counties,0.9145017966808507,0.8290035933617015,0,High-wage investment-income counties
01011,"Bullock County, AL",Very Low,2,Small transfer-reliant counties,0.9661197315493878,0.9322394630987761,0,High-wage investment-income counties
01013,"Butler County, AL",Low,2,Small transfer-reliant counties,0.8983469160668516,0.7966938321466076,0,High-wage investment-income counties
01015,"Calhoun County, AL",Moderate,2,Small transfer-reliant counties,0.9614508097175498,0.9229016194350983,0,High-wage investment-income counties
01017,"Chambers County, AL",Low,2,Small transfer-reliant counties,0.9647003297205415,0.9294006594410837,0,High-wage investment-income counties
01019,"Cherokee County, AL",Low,2,Small transfer-reliant counties,0.9634480126432898,0.9268960252865792,0,High-wage investment-income counties
01021,"Chilton County, AL",Low,2,Small transfer-reliant counties,0.9543696671836969,0.9087393343742757,0,High-wage investment-income counties
01023,"Choctaw County, AL",Low,2,Small transfer-reliant counties,0.8887238932912292,0.7774477865824594,0,High-wage investment-income counties
01025,"Clarke County, AL",Low,2,Small transfer-reliant counties,0.9514221346940107,0.9028442693880209,0,High-wage investment-income counties
01027,"Clay County, AL",Very Low,2,Small transfer-reliant counties,0.9648284345088853,0.9296568690177698,0,High-wage investment-income counties
01029,"Cleburne County, AL",Very Low,2,Small transfer-reliant counties,0.9026819089616787,0.8053638179233576,0,High-wage investment-income counties
01031,"Coffee County, AL",Moderate,0,High-wage investment-income counties,0.7679138267241261,0.5358276534482534,2,Small transfer-reliant counties
01033,"Colbert County, AL",Low,2,Small transfer-reliant counties,0.7653352581210124,0.5306705162420239,0,High-wage investment-income counties
01035,"Conecuh County, AL",Very Low,2,Small transfer-reliant counties,0.9495373753715154,0.8990747507430294,0,High-wage investment-income counties
01037,"Coosa County, AL",Very Low,2,Small transfer-reliant counties,0.9429022562678907,0.8858045125357816,0,High-wage investment-income counties
01039,"Covington County, AL",Moderate,2,Small transfer-reliant counties,0.9738941586266833,0.9477883172533648,0,High-wage investment-income counties
01041,"Crenshaw County, AL",Very Low,2,Small transfer-reliant counties,0.9635745100409941,0.9271490200819896,0,High-wage investment-income counties
01043,"Cullman County, AL",Moderate,2,Small transfer-reliant counties,0.6405183413545265,0.2810366832040056,0,High-wage investment-income counties
01045,"Dale County, AL",Low,2,Small transfer-reliant counties,0.9010142187274789,0.8020284374566364,0,High-wage investment-income counties
01047,"Dallas County, AL",Low,2,Small transfer-reliant counties,0.970164007920143,0.9403280158402876,0,High-wage investment-income counties
01049,"DeKalb County, AL",Low,2,Small transfer-reliant counties,0.9435660239344948,0.8871320478690294,0,High-wage investment-income counties
01051,"Elmore County, AL",Low,2,Small transfer-reliant counties,0.7110571615518387,0.4221143231036789,0,High-wage investment-income counties
01053,"Escambia County, AL",Moderate,2,Small transfer-reliant counties,0.9685204463833694,0.9370408927667404,0,High-wage investment-income counties
01055,"Etowah County, AL",Moderate,2,Small transfer-reliant counties,0.9730670519725635,0.9461341039451281,0,High-wage investment-income counties
01057,"Fayette County, AL",Very Low,2,Small transfer-reliant counties,0.9780886657042481,0.9561773314084959,0,High-wage investment-income counties
01059,"Franklin County, AL",Low,2,Small transfer-reliant counties,0.9676691292953415,0.935338258590688,0,High-wage investment-income counties
01061,"Geneva County, AL",Low,2,Small transfer-reliant counties,0.9741827965471824,0.9483655930943639,0,High-wage investment-income counties
01063,"Greene County, AL",Very Low,2,Small transfer-reliant counties,0.9761430027760926,0.9522860055521835,0,High-wage investment-income counties
01065,"Hale County, AL",Very Low,2,Small transfer-reliant counties,0.9795996786405253,0.9591993572810523,0,High-wage investment-income counties
01067,"Henry County, AL",Very Low,0,High-wage investment-income counties,0.7612466066643069,0.5224932195845551,2,Small transfer-reliant counties
01069,"Houston County, AL",Moderate,0,High-wage investment-income counties,0.9914819129451905,0.9829837998590978,2,Small transfer-reliant counties
01071,"Jackson County, AL",Low,2,Small transfer-reliant counties,0.9479441279506977,0.8958882559013963,0,High-wage investment-income counties
01073,"Jefferson County, AL",High,0,High-wage investment-income counties,0.9997639493465534,0.999527898693106,2,Small transfer-reliant counties
01075,"Lamar County, AL",Very Low,2,Small transfer-reliant counties,0.9743833606494902,0.9487667212989794,0,High-wage investment-income counties
01077,"Lauderdale County, AL",Moderate,2,Small transfer-reliant counties,0.8707995739265374,0.7415991478530755,0,High-wage investment-income counties
01079,"Lawrence County, AL",Low,2,Small transfer-reliant counties,0.9569776327870709,0.9139552655741425,0,High-wage investment-income counties
01081,"Lee County, AL",Low,2,Small transfer-reliant counties,0.5018812605330986,0.0037667577577420452,0,High-wage investment-income counties
01083,"Limestone County, AL",Low,0,High-wage investment-income counties,0.9396771376561309,0.8793543635996182,2,Small transfer-reliant counties
01085,"Lowndes County, AL",Very Low,0,High-wage investment-income counties,0.9490888493011214,0.898177739378219,2,Small transfer-reliant counties
01087,"Macon County, AL",Very Low,2,Small transfer-reliant counties,0.9198344548913155,0.8396689097826295,0,High-wage investment-income counties
01089,"Madison County, AL",High,0,High-wage investment-income counties,0.9985646336110254,0.9971292672220492,2,Small transfer-reliant counties
