nri_risk_rating,economic_profile,economic_profile_label,counties,mean_assignment_confidence,risk_group_count,share
Very Low,1,Smaller mixed-economy counties,520,0.9266696649288227,1345,0.38661710037174724
Very Low,4,Larger average-economy counties,371,0.8917826916173245,1345,0.2758364312267658
Very Low,0,High-wage investment-income counties,260,0.851589894699238,1345,0.19330855018587362
Very Low,2,Small transfer-reliant counties,113,0.8601255064190035,1345,0.08401486988847584
Very Low,3,Large high-wage metro counties,81,0.896019176992452,1345,0.06022304832713755
Low,4,Larger average-economy counties,446,0.9018717679075714,1200,0.37166666666666665
Low,3,Large high-wage metro counties,279,0.9288777935384166,1200,0.2325
Low,1,Smaller mixed-economy counties,255,0.906503697932303,1200,0.2125
Low,2,Small transfer-reliant counties,118,0.8959288780792073,1200,0.09833333333333333
Low,0,High-wage investment-income counties,102,0.8402776482744531,1200,0.085
Moderate,3,Large high-wage metro counties,241,0.9614565843056474,420,0.5738095238095238
Moderate,4,Larger average-economy counties,81,0.8971603610237254,420,0.19285714285714287
Moderate,0,High-wage investment-income counties,63,0.8558801094452054,420,0.15
Moderate,2,Small transfer-reliant counties,25,0.8528933996086046,420,0.05952380952380952
Moderate,1,Smaller mixed-economy counties,10,0.9358073192561516,420,0.023809523809523808
High,3,Large high-wage metro counties,111,0.9533531324008051,162,0.6851851851851852
High,0,High-wage investment-income counties,39,0.8608867587705574,162,0.24074074074074073
High,2,Small transfer-reliant counties,8,0.7115215347880679,162,0.04938271604938271
High,4,Larger average-economy counties,4,0.6797176190681106,162,0.024691358024691357
Very High,0,High-wage investment-income counties,13,0.9275352800725418,17,0.7647058823529411
Very High,3,Large high-wage metro counties,4,0.842654300045483,17,0.23529411764705882
