fips,county_name,state,nri_risk_rating,incident_count,migration_trend_profile,migration_trend_profile_label,assignment_confidence,assignment_margin,second_best_profile,second_best_profile_label
01001,Autauga County,AL,Low,12,3,Gradual post-incident migration gain counties,0.9322100609061847,0.8646644595208661,0,Strong post-incident migration gain counties
01003,Baldwin County,AL,High,12,0,Strong post-incident migration gain counties,0.7610180500198258,0.5281762104395213,3,Gradual post-incident migration gain counties
01005,Barbour County,AL,Low,12,0,Strong post-incident migration gain counties,0.9839944950546926,0.9755539239012889,2,Volatile migration counties
01007,Bibb County,AL,Very Low,9,3,Gradual post-incident migration gain counties,0.6484886139096283,0.30945926580158517,0,Strong post-incident migration gain counties
01009,Blount County,AL,Low,12,3,Gradual post-incident migration gain counties,0.9938727576832248,0.9878021107725923,0,Strong post-incident migration gain counties
01013,Butler County,AL,Low,13,3,Gradual post-incident migration gain counties,0.7673602933710211,0.5367258519230061,0,Strong post-incident migration gain counties
01015,Calhoun County,AL,Moderate,10,3,Gradual post-incident migration gain counties,0.9962761899898389,0.9925818057446094,0,Strong post-incident migration gain counties
01017,Chambers County,AL,Low,11,0,Strong post-incident migration gain counties,0.8390342044890504,0.7538174773806309,3,Gradual post-incident migration gain counties
01019,Cherokee County,AL,Low,10,0,Strong post-incident migration gain counties,0.9719334125149695,0.9486167684544516,3,Gradual post-incident migration gain counties
01021,Chilton County,AL,Low,10,3,Gradual post-incident migration gain counties,0.5932642144105661,0.18713461059645548,0,Strong post-incident migration gain counties
01027,Clay County,AL,Very Low,1,1,Spike-and-fade migration counties,0.9970131610013652,0.9947821877035958,2,Volatile migration counties
01029,Cleburne County,AL,Very Low,8,0,Strong post-incident migration gain counties,0.8048362416042223,0.6321889622630005,1,Spike-and-fade migration counties
01031,Coffee County,AL,Moderate,12,0,Strong post-incident migration gain counties,0.8703663124962928,0.7425647724912224,3,Gradual post-incident migration gain counties
01033,Colbert County,AL,Low,11,3,Gradual post-incident migration gain counties,0.9817794458766823,0.963692938706999,0,Strong post-incident migration gain counties
01037,Coosa County,AL,Very Low,2,1,Spike-and-fade migration counties,0.9872892381108217,0.974578604965307,2,Volatile migration counties
01043,Cullman County,AL,Moderate,11,3,Gradual post-incident migration gain counties,0.8065179543373853,0.615639901569565,0,Strong post-incident migration gain counties
01045,Dale County,AL,Low,13,3,Gradual post-incident migration gain counties,0.9995791716177067,0.9992251966326948,0,Strong post-incident migration gain counties
01047,Dallas County,AL,Low,7,2,Volatile migration counties,0.9999398212001813,0.9998934064336205,1,Spike-and-fade migration counties
01049,DeKalb County,AL,Low,11,3,Gradual post-incident migration gain counties,0.9988582881999787,0.9977394052222318,0,Strong post-incident migration gain counties
01051,Elmore County,AL,Low,12,3,Gradual post-incident migration gain counties,0.9995156266307821,0.9990705549274655,0,Strong post-incident migration gain counties
01053,Escambia County,AL,Moderate,11,0,Strong post-incident migration gain counties,0.9605530416820945,0.9239729026021191,1,Spike-and-fade migration counties
01055,Etowah County,AL,Moderate,10,3,Gradual post-incident migration gain counties,0.9997987329100151,0.9996257394509264,0,Strong post-incident migration gain counties
01057,Fayette County,AL,Very Low,9,3,Gradual post-incident migration gain counties,0.8257302534429704,0.6526357525820784,0,Strong post-incident migration gain counties
01059,Franklin County,AL,Low,8,0,Strong post-incident migration gain counties,0.9252321655531667,0.856330391283044,3,Gradual post-incident migration gain counties
01061,Geneva County,AL,Low,13,3,Gradual post-incident migration gain counties,0.8094027983824957,0.6192962793360257,0,Strong post-incident migration gain counties
