nri_risk_rating,migration_trend_profile,migration_trend_profile_label,counties,mean_assignment_confidence,risk_group_count,share
Very Low,0,Strong post-incident migration gain counties,265,0.8593541582272318,598,0.4431438127090301
Very Low,1,Spike-and-fade migration counties,140,0.8718740084591358,598,0.23411371237458195
Very Low,3,Gradual post-incident migration gain counties,111,0.842231805938992,598,0.18561872909698995
Very Low,2,Volatile migration counties,82,0.975166989656651,598,0.13712374581939799
Low,0,Strong post-incident migration gain counties,409,0.8437173615523222,929,0.4402583423035522
Low,3,Gradual post-incident migration gain counties,303,0.8981137784464333,929,0.3261571582346609
Low,1,Spike-and-fade migration counties,159,0.8677345780274704,929,0.17115177610333693
Low,2,Volatile migration counties,58,0.9788471270076463,929,0.062432723358449946
Moderate,3,Gradual post-incident migration gain counties,192,0.9173900428960765,381,0.5039370078740157
Moderate,0,Strong post-incident migration gain counties,99,0.81587458365189,381,0.25984251968503935
Moderate,1,Spike-and-fade migration counties,50,0.8994237419122527,381,0.13123359580052493
Moderate,2,Volatile migration counties,40,0.9993325277705782,381,0.10498687664041995
High,3,Gradual post-incident migration gain counties,73,0.9193742747003258,155,0.47096774193548385
High,0,Strong post-incident migration gain counties,37,0.7812407692079376,155,0.23870967741935484
High,1,Spike-and-fade migration counties,26,0.8881320854810825,155,0.16774193548387098
High,2,Volatile migration counties,19,0.9999289495452889,155,0.12258064516129032
Very High,3,Gradual post-incident migration gain counties,10,0.940459294573037,17,0.5882352941176471
Very High,0,Strong post-incident migration gain counties,4,0.7237308393506252,17,0.23529411764705882
Very High,1,Spike-and-fade migration counties,3,0.8325455121228975,17,0.17647058823529413
