migration_trend_profile,migration_trend_profile_label,year_offset,median,q1,q3,n
0,Strong post-incident migration gain counties,-2,0.623464849469868,-4.406384619341983,5.8025063300981,814
0,Strong post-incident migration gain counties,-1,1.5530010089424815,-3.3861997259721943,7.462862880884753,814
0,Strong post-incident migration gain counties,0,3.184868400848542,-1.8510850823149683,9.09867380903428,814
0,Strong post-incident migration gain counties,1,3.0063625083357577,-2.097722315725629,9.894759934859415,814
0,Strong post-incident migration gain counties,2,5.7206936242943165,0.24391392957083935,12.214944935998588,814
1,Spike-and-fade migration counties,-2,3.180615044878201,-2.4149902071937044,9.73413420627953,378
1,Spike-and-fade migration counties,-1,3.138714767517785,-3.321814064071085,10.026438342438965,378
1,Spike-and-fade migration counties,0,3.5131823174505916,-2.784557641597991,11.261098789033305,378
1,Spike-and-fade migration counties,1,5.150831810297362,-0.4118720079879731,13.092619666548735,378
1,Spike-and-fade migration counties,2,1.828533737346635,-3.378217702325661,8.944170196417566,378
2,Volatile migration counties,-2,3.814005561771537,-6.332045847224256,17.40763124276222,199
2,Volatile migration counties,-1,2.1052631578947367,-6.921420800725802,13.744100196890738,199
2,Volatile migration counties,0,2.9103608847497093,-7.885664634486073,17.651013730618843,199
2,Volatile migration counties,1,4.2994179742811856,-7.597537650238756,17.708779117764564,199
2,Volatile migration counties,2,6.199289225788699,-5.478055930282282,22.918215391888975,199
3,Gradual post-incident migration gain counties,-2,1.0213620812156927,-2.8721030422199147,6.16427963385538,689
3,Gradual post-incident migration gain counties,-1,1.6705517836156252,-2.904434477723308,6.745601910660063,689
3,Gradual post-incident migration gain counties,0,2.4073326997777382,-2.164141834526386,6.9298557674782275,689
3,Gradual post-incident migration gain counties,1,2.563247457033283,-2.243693896858201,7.104162558765226,689
3,Gradual post-incident migration gain counties,2,2.670435994843317,-0.9642189970448445,7.942409231028038,689
