fips,county_name,state,state_long,county_label,year,damage,damage_billions,property_damage,crop_damage,total_event_count,event_types
48201,Harris County,TX,Texas,"Harris County, TX",2017,10002030000,10.00203,10001921000,109000,59,"['flash_flood', 'funnel_cloud', 'hail', 'lightning', 'thunderstorm_wind', 'tornado']"
48167,Galveston County,TX,Texas,"Galveston County, TX",2017,10000405500,10.0004055,10000395500,10000,27,"['flash_flood', 'funnel_cloud', 'thunderstorm_wind', 'tornado']"
48157,Fort Bend County,TX,Texas,"Fort Bend County, TX",2017,8005866000,8.005866,8005816000,50000,28,"['flash_flood', 'hail', 'thunderstorm_wind', 'tornado']"
48339,Montgomery County,TX,Texas,"Montgomery County, TX",2017,7000010000,7.00001,7000000000,10000,10,"['flash_flood', 'hail', 'lightning', 'tornado']"
48245,Jefferson County,TX,Texas,"Jefferson County, TX",2017,3000043000,3.000043,3000043000,0,23,"['flash_flood', 'flood', 'funnel_cloud', 'hail', 'thunderstorm_wind', 'tornado']"
22033,East Baton Rouge Parish,LA,Louisiana,"East Baton Rouge Parish, LA",2016,2404200000,2.4042,2404200000,0,13,"['flash_flood', 'flood', 'hail', 'lightning', 'thunderstorm_wind', 'tornado']"
08059,Jefferson County,CO,Colorado,"Jefferson County, CO",2017,2300000000,2.3,2300000000,0,20,['hail']
48039,Brazoria County,TX,Texas,"Brazoria County, TX",2017,2001632000,2.001632,2001532000,100000,20,"['flash_flood', 'funnel_cloud', 'heavy_rain', 'lightning', 'tornado']"
48113,Dallas County,TX,Texas,"Dallas County, TX",2019,1970502000,1.970502,1970502000,0,59,"['flash_flood', 'hail', 'thunderstorm_wind', 'tornado']"
22063,Livingston Parish,LA,Louisiana,"Livingston Parish, LA",2016,1917800000,1.9178,1917800000,0,16,"['flash_flood', 'flood', 'hail', 'heavy_rain', 'thunderstorm_wind', 'tornado']"
29510,St. Louis City,MO,Missouri,"St. Louis City, MO",2025,1600601000,1.600601,1600601000,0,16,"['flash_flood', 'hail', 'tornado']"
22005,Ascension Parish,LA,Louisiana,"Ascension Parish, LA",2016,1530122000,1.530122,1530122000,0,8,"['flash_flood', 'flood', 'hail', 'lightning', 'thunderstorm_wind', 'tornado']"
48361,Orange County,TX,Texas,"Orange County, TX",2017,1500000000,1.5,1500000000,0,8,"['flash_flood', 'flood', 'hail']"
48029,Bexar County,TX,Texas,"Bexar County, TX",2016,1360000000,1.36,1360000000,0,98,"['flash_flood', 'hail', 'thunderstorm_wind']"
48113,Dallas County,TX,Texas,"Dallas County, TX",2022,1351550000,1.35155,1351550000,0,41,"['flash_flood', 'flood', 'hail', 'thunderstorm_wind']"
48085,Collin County,TX,Texas,"Collin County, TX",2023,1302639000,1.302639,1302639000,0,42,"['hail', 'thunderstorm_wind']"
22055,Lafayette Parish,LA,Louisiana,"Lafayette Parish, LA",2016,1100046000,1.100046,1100046000,0,12,"['flash_flood', 'flood', 'hail', 'lightning', 'thunderstorm_wind']"
47037,Davidson County,TN,Tennessee,"Davidson County, TN",2020,1097629000,1.097629,1097629000,0,28,"['flash_flood', 'flood', 'hail', 'heavy_rain', 'lightning', 'thunderstorm_wind', 'tornado']"
22105,Tangipahoa Parish,LA,Louisiana,"Tangipahoa Parish, LA",2016,1051001000,1.051001,1051001000,0,24,"['flash_flood', 'flood', 'hail', 'heavy_rain', 'thunderstorm_wind', 'tornado']"
48349,Navarro County,TX,Texas,"Navarro County, TX",2015,1000464500,1.0004645,1000414500,50000,23,"['flash_flood', 'flood', 'hail', 'thunderstorm_wind']"
